scraped_at,modele,finition,prix,annee_mise_en_circulation,kilometrage,carburant,transmission,puissance,nb_ancien_proprietaire,classe_vehicule,nb_porte,nb_place,couleur,sellerie,classe_emission,emission_CO2,crit_air,usage_commerciale_anterieure,url_annonce
2025-04-09,Toyota Yaris Cross,1.5 2WD Design,20 590 €,28.09.2022,54 261 km,Hybride,Boite de vitesse automatique,116 CV / 85 kW,2,SUV,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,107 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/toyota-yaris-cross/id/eacea756-196f-41c5-bc30-83de12404837/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 3008,1.2 PureTech Allure Pack EAT8,25 190 €,11.06.2024,8 552 km,Essence,Boite de vitesse automatique,130 CV / 96 kW,1,SUV,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,144 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-3008/id/027a9dc2-09b9-4634-a2b2-70ea87a7cf08/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 208,1.2 PureTech GT EAT8,17 290 €,19.06.2023,11 360 km,Essence,Boite de vitesse automatique,100 CV / 74 kW,1,Citadine,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,123 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-208/id/aad1ddae-5632-4cd0-bd26-6f5195db276d/?financePeriod=84&cashAmount=50000
2025-04-09,Dacia Sandero,Stepway 1.0 TCe,13 490 €,24.08.2020,6 560 km,Essence,Boite de vitesse manuelle,100 CV / 74 kW,1,Citadine,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,135 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/dacia-sandero/id/08c0396e-718b-4e97-9aac-e61cdfa57649/?financePeriod=84&cashAmount=50000
2025-04-09,Renault Captur,1.3 TCe Mild Hybrid RS Line EDC,20 690 €,19.04.2023,26 624 km,Essence,Double embrayage / DCT,160 CV / 116 kW,2,SUV,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,134 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/renault-captur/id/61a81f6c-02d5-4d01-ac1e-1600df8695d7/?financePeriod=84&cashAmount=50000
2025-04-09,Opel Crossland X,1.2 Turbo Innovation,11 390 €,06.08.2018,61 644 km,Essence,Boite de vitesse manuelle,110 CV / 81 kW,1,SUV,5,5,Orange,Tissu (Sellerie d'origine),EURO 6,111 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/opel-crossland-x/id/c0fff28a-7527-4bc5-8476-6d4452f3aa25/?financePeriod=84&cashAmount=50000&impression_id=ODljMmZlOTMtM2U0Ny00YjVhLThhZGItZjQ2ZmEzMzI0MmQxKzE3NDQxODE4NDEwMzA%3D
2025-04-09,Opel Mokka,1.2 Turbo Elegance,15 590 €,23.07.2021,47 127 km,Essence,Boite de vitesse manuelle,100 CV / 74 kW,1,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,,Crit'Air 1,,https://www.autohero.com/fr/opel-mokka/id/57725dd8-97fe-4790-bef1-4f3a3afdf6b3/?financePeriod=84&cashAmount=50000
2025-04-09,Renault Twingo,0.9 TCe Energy Hipanema,8 290 €,07.02.2017,70 656 km,Essence,Boite de vitesse manuelle,90 CV / 66 kW,3,Citadine,5,4,Noir,Tissu (Sellerie d'origine),EURO 6,99 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/renault-twingo/id/329100ab-66b3-4cbf-9f28-4f8ddb93f9dd/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 3008,1.2 PureTech GT Line EAT6,13 990 €,18.05.2017,78 679 km,Essence,Boite de vitesse automatique,130 CV / 96 kW,1,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,120 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-3008/id/adeca76c-f0ff-4a0e-baa9-34e1ba093d9a/?financePeriod=84&cashAmount=50000&impression_id=ZTgxYjAyOGItMzU3Zi00ZjVlLWI4ODAtZDFiNDMxOTI1MmI4KzE3NDQxODE5MDk2NTM%3D
2025-04-09,Peugeot 308,1.2 PureTech GT EAT8,19 990 €,11.03.2022,39 155 km,Essence,Boite de vitesse automatique,130 CV / 96 kW,2,Berline,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,130 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/peugeot-308/id/d1c422d1-0013-4a2d-af43-8ed7191df62c/?financePeriod=84&cashAmount=50000
2025-04-09,Hyundai Tucson,1.6 T-GDi Hybrid 48V Creative DCT-7,23 190 €,08.04.2021,55 056 km,Essence,Double embrayage / DCT,150 CV / 110 kW,2,SUV,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,146 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/hyundai-tucson/id/7b016bd1-b5d1-411d-be2e-a4962e7ffe8d/?financePeriod=84&cashAmount=50000
2025-04-09,Mercedes-Benz Classe A,180 d Progressive Line 7G-DCT,19 890 €,24.12.2018,99 270 km,Diesel,Double embrayage / DCT,116 CV / 85 kW,4,Berline,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,107 g/km,Crit'Air 2,Oui,https://www.autohero.com/fr/mercedes-benz-classe-a/id/7530c544-0923-47bd-8457-101f62f4e63a/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 3008,1.5 Blue-HDi Allure Pack EAT8,21 790 €,28.04.2022,78 310 km,Diesel,Boite de vitesse automatique,130 CV / 96 kW,Inconnu,SUV,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,135 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/peugeot-3008/id/e5d82304-180b-4a77-9533-96f9cb153d0e/?financePeriod=84&cashAmount=50000
2025-04-09,Dacia Jogger,1.6 Hybrid Expression,21 990 €,15.09.2023,17 982 km,Hybride,Semi-automatique,141 CV / 104 kW,1,Break,5,7,Noir,Tissu (Sellerie d'origine),EURO 6,108 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/dacia-jogger/id/020148b0-531d-4d61-983f-9908b85bc701/?financePeriod=84&cashAmount=50000
2025-04-09,Dacia Duster,1.3 TCe Prestige 4x2,14 290 €,11.04.2019,87 018 km,Essence,Boite de vitesse manuelle,130 CV / 96 kW,1,SUV,5,5,Marron,Tissu (Sellerie d'origine),EURO 6,,Crit'Air 1,,https://www.autohero.com/fr/dacia-duster/id/62c34537-d204-4fe8-9584-5c9c2d55fe2c/?financePeriod=84&cashAmount=50000
2025-04-09,Citroen Berlingo,Multispace Taille M 1.2 PureTech Feel Pack EAT8,21 690 €,28.09.2021,33 357 km,Essence,Boite de vitesse automatique,131 CV / 96 kW,2,Monospace,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,,Crit'Air 1,,https://www.autohero.com/fr/citroen-berlingo/id/169bdabb-ab53-466f-8239-527ff72dc320/?financePeriod=84&cashAmount=50000
2025-04-09,Opel Corsa,1.2 Turbo GS Line Auto,15 990 €,07.04.2022,34 983 km,Essence,Boite de vitesse automatique,130 CV / 96 kW,Inconnu,Citadine,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,122 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/opel-corsa/id/626d5528-9835-4f4a-b532-a71d0bc3f262/?financePeriod=84&cashAmount=50000
2025-04-09,Renault Clio,0.9 TCe Business,9 390 €,31.05.2019,71 731 km,Essence,Boite de vitesse manuelle,76 CV / 56 kW,4,Citadine,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,113 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/renault-clio/id/9350d35d-c28b-426e-8b94-70165c72a277/?financePeriod=84&cashAmount=50000&impression_id=MDgzMjc2MDgtYTc3NS00M2I3LThkYjctZjVlMGFhNmUwNmEyKzE3NDQxODE5MzU4ODM%3D
2025-04-09,Peugeot 308,1.2 PureTech Tech Edition EAT8,11 190 €,26.02.2019,85 830 km,Essence,Boite de vitesse automatique,130 CV / 96 kW,2,Berline,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,117 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-308/id/c0541ebf-0319-4f1b-b8d0-173836a6bee8/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 3008,1.6 PureTech GT Line EAT8,18 690 €,15.05.2019,68 451 km,Essence,Boite de vitesse automatique,180 CV / 133 kW,1,SUV,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,128 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-3008/id/721aa5ca-de9f-4ad0-be5f-c647f285e4cb/?financePeriod=84&cashAmount=50000&impression_id=M2VlMmM4YjgtMzgyNC00OGY1LTliN2ItMjA3MGNlYTJjNmZmKzE3NDQxODIxODI4Mjk%3D
2025-04-09,Peugeot 3008,1.2 PureTech GT,19 590 €,14.02.2023,48 736 km,Essence,Boite de vitesse manuelle,130 CV / 96 kW,1,SUV,5,5,Bleu,Mi-cuir (Sellerie d'origine),EURO 6,140 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-3008/id/480ad9ae-97e5-4385-922f-4a15cc6e26b4/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 2008,1.2 PureTech Signature,10 090 €,30.10.2019,47 077 km,Essence,Boite de vitesse manuelle,110 CV / 81 kW,2,SUV,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,104 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/peugeot-2008/id/92515d67-dfe9-48c2-9402-463ac3370830/?financePeriod=84&cashAmount=50000&impression_id=MjZjNDhiMjctNmVhMC00NTI1LWJjMjQtNGIzNTJjYzg0NjU1KzE3NDQxODE5MjAxNDY%3D
2025-04-09,Peugeot 2008,1.2 PureTech Style EAT8,16 090 €,23.09.2021,23 102 km,Essence,Boite de vitesse automatique,131 CV / 96 kW,2,SUV,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,135 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-2008/id/8bde2f11-7d79-4bfe-8e22-0f9e757d5af1/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 208,1.2 PureTech GT EAT8,15 390 €,28.02.2022,27 854 km,Essence,Boite de vitesse automatique,130 CV / 96 kW,2,Citadine,5,5,Bleu,Mi-cuir (Sellerie d'origine),EURO 6,122 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-208/id/761e754c-0291-4732-8b90-3df5eb2cee56/?financePeriod=84&cashAmount=50000
2025-04-09,Volkswagen Polo,1.0 TSI United DSG7,16 190 €,26.02.2021,55 950 km,Essence,Double embrayage / DCT,95 CV / 70 kW,2,Citadine,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,129 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/volkswagen-polo/id/8aadd699-0fe8-4b57-8879-2c3cd39ac9ff/?financePeriod=84&cashAmount=50000
2025-04-09,Opel Corsa,1.2 Turbo GS Line Auto,13 890 €,26.03.2020,53 383 km,Essence,Boite de vitesse automatique,130 CV / 96 kW,2,Citadine,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,129 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/opel-corsa/id/56230ed5-3355-4739-a649-c6592011ca9c/?financePeriod=84&cashAmount=50000&impression_id=YmNlMDAxMmEtMjEyMC00ZmJlLWJiYjAtZjU3OTk0ZGQ1ODU2KzE3NDQxODE5NTE1Njc%3D
2025-04-09,Volkswagen Amarok,3.0 V6 TDI 4Motion Carat Auto,34 490 €,22.03.2018,68 737 km,Diesel,Boite de vitesse automatique,225 CV / 165 kW,2,Pickup,4,5,Blanc,Cuir (Sellerie d'origine),EURO 6,212 g/km,Crit'Air 2,Oui,https://www.autohero.com/fr/volkswagen-amarok/id/0fb7f7a9-432f-4e9c-850b-3db846267b1f/?financePeriod=84&cashAmount=50000
2025-04-09,Alfa Romeo Giulietta,1.6 JTDM Giulietta,12 090 €,27.10.2017,70 288 km,Diesel,Boite de vitesse manuelle,120 CV / 88 kW,2,Berline,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,99 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/alfa-romeo-giulietta/id/4eb32e8b-82d3-4a1b-b47a-926e8969da2c/?financePeriod=84&cashAmount=50000
2025-04-09,Renault Clio,1.5 dCi Trend,10 890 €,27.06.2019,81 543 km,Diesel,Boite de vitesse manuelle,75 CV / 55 kW,1,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,,Crit'Air 2,,https://www.autohero.com/fr/renault-clio/id/76315454-6d26-46c4-850c-9fa8a432a0e8/?financePeriod=84&cashAmount=50000
2025-04-09,Nissan Qashqai,1.5 dCi N-Connecta DCT7,16 690 €,23.05.2019,95 209 km,Diesel,Double embrayage / DCT,115 CV / 85 kW,2,SUV,5,5,Bleu,Tissu (Sellerie d'origine),EURO 6,109 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/nissan-qashqai/id/e8ee6307-e00a-4d82-9b95-7707fc51fc40/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 208,1.2 PureTech GT Line,8 190 €,27.02.2017,58 720 km,Essence,Boite de vitesse manuelle,110 CV / 81 kW,3,Citadine,3,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,99 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-208/id/4a8d03d8-407f-4b07-94c3-6f14241c0efb/?financePeriod=84&cashAmount=50000
2025-04-09,Hyundai i20,1.2 Edition Clim,10 990 €,03.02.2020,12 884 km,Essence,Boite de vitesse manuelle,75 CV / 55 kW,1,Citadine,5,5,Rouge,Tissu (Sellerie d'origine),EURO 6,121 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/hyundai-i-20/id/65a3b496-6b37-4386-b916-d8f72a9705b4/?financePeriod=84&cashAmount=50000&impression_id=MzA1NTY2NmEtNDc4MS00M2VlLWJjOTItMzdmZmMzOGY2NjljKzE3NDQxODIxMjQ5OTE%3D
2025-04-09,Renault Clio,1.0 TCe Zen,12 390 €,27.12.2019,58 474 km,Essence,Boite de vitesse manuelle,100 CV / 74 kW,2,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,100 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/renault-clio/id/0d63489e-43eb-447d-af2c-e559a5cb5059/?financePeriod=84&cashAmount=50000&impression_id=ZmQwNmIzNWQtM2EzYy00MDAzLThjYmUtZjI1YTRhZTAwZTJlKzE3NDQxODIxMDkyMDA%3D
2025-04-09,Lexus CT-Serie,200h Pack,19 990 €,05.08.2020,39 876 km,Hybride,Boite de vitesse automatique,136 CV / 100 kW,2,Berline,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,,Crit'Air 1,,https://www.autohero.com/fr/lexus-ct-serie/id/ad6e5e40-abb6-4647-b648-83e51c1f4e9d/?financePeriod=84&cashAmount=50000
2025-04-09,Opel Grandland X,1.5 Diesel Auto,17 290 €,25.02.2021,88 294 km,Diesel,Boite de vitesse automatique,130 CV / 96 kW,Inconnu,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,102 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/opel-grandland-x/id/735abeec-b891-473b-93ac-28ecd7ac7180/?financePeriod=84&cashAmount=50000
2025-04-09,Opel Crossland X,1.2 Turbo Ultimate Automatique,12 590 €,30.04.2018,57 620 km,Essence,Boite de vitesse automatique,110 CV / 81 kW,2,SUV,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,123 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/opel-crossland-x/id/5a936e46-e84f-477b-aad2-583936017914/?financePeriod=84&cashAmount=50000
2025-04-09,BMW Série 2,Gran Coupé 220i DKG7,28 190 €,06.03.2023,25 614 km,Essence,Boite de vitesse automatique,178 CV / 131 kW,2,Berline,4,5,Gris,Tissu (Sellerie d'origine),EURO 6,138 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/bmw-serie-2/id/9edfcea8-906b-4834-af11-3fdc74e3e26b/?financePeriod=84&cashAmount=50000
2025-04-09,Renault Kadjar,1.5 Blue dCi,17 690 €,04.09.2020,60 493 km,Diesel,Double embrayage / DCT,115 CV / 85 kW,Inconnu,SUV,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,135 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/renault-kadjar/id/49e3e64f-01e6-441a-a6eb-bf0295893b4d/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 3008,1.2 PureTech Allure Pack EAT8,22 990 €,27.06.2023,11 351 km,Essence,Boite de vitesse automatique,130 CV / 96 kW,3,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,145 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/peugeot-3008/id/7a7dc66d-4dc4-4899-976f-a21066fe5279/?financePeriod=84&cashAmount=50000
2025-04-09,Hyundai i20,1.0 T-GDi Edition Navi,11 490 €,17.10.2018,63 583 km,Essence,Boite de vitesse manuelle,100 CV / 74 kW,2,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,109 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/hyundai-i-20/id/e6802fec-1ea8-46fa-876c-48baf8c54dc8/?financePeriod=84&cashAmount=50000
2025-04-09,Ford Ka+,1.2 Ti-VCT Essential,7 390 €,20.12.2017,77 468 km,Essence,Boite de vitesse manuelle,70 CV / 52 kW,3,Citadine,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,114 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/ford-ka/id/c8a358d3-7e38-4bad-8cb1-be7cce88af42/?financePeriod=84&cashAmount=50000
2025-04-09,Volkswagen Polo,1.0 TSI Copper Line DSG7,16 390 €,26.12.2018,95 932 km,Essence,Double embrayage / DCT,115 CV / 85 kW,2,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,,Crit'Air 1,,https://www.autohero.com/fr/volkswagen-polo/id/1eb93b60-13c6-4cfd-bd5e-007f3ffba8d7/?financePeriod=84&cashAmount=50000&impression_id=ZmYyNWQ1YjQtYTFmYi00MzZkLWFkNGUtZDFiMjY2ZjE0NDlmKzE3NDQxODIwNzc3NTY%3D
2025-04-09,Skoda Kamiq,1.5 TSI ACT Monte-Carlo DSG7,26 290 €,30.09.2022,15 012 km,Essence,Boite de vitesse automatique,150 CV / 110 kW,2,SUV,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,141 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/skoda-kamiq/id/66b69182-8371-4c1c-b509-0eeaf03456b8/?financePeriod=84&cashAmount=50000
2025-04-09,Mercedes-Benz Classe A,200 AMG Line 7G-DCT,31 890 €,04.07.2022,36 491 km,Essence,Double embrayage / DCT,163 CV / 120 kW,Inconnu,Berline,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,137 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/mercedes-benz-classe-a/id/08edadd9-1dfd-464a-97bf-b1f8fff32ff8/?financePeriod=84&cashAmount=50000
2025-04-09,Skoda Octavia,Combi 2.0 TDI RS DSG7,22 390 €,30.04.2019,78 093 km,Diesel,Double embrayage / DCT,184 CV / 135 kW,3,Break,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,111 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/skoda-octavia/id/1160ff8b-f80f-469f-a9eb-7b0f0b0127d7/?financePeriod=84&cashAmount=50000
2025-04-09,Seat Leon,1.5 eTSI FR DSG7,23 090 €,29.09.2020,54 517 km,Essence,Double embrayage / DCT,150 CV / 110 kW,3,Berline,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,136 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/seat-leon/id/be7b794b-c966-4a00-bafd-58cb4d8fe3c4/?financePeriod=84&cashAmount=50000
2025-04-09,Renault Mégane,Estate 1.3 TCe Intens EDC,14 490 €,04.02.2019,85 533 km,Essence,Boite de vitesse automatique,140 CV / 103 kW,3,Break,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,125 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/renault-megane/id/e6f57f2f-7249-4897-b62e-d92fe4dc9176/?financePeriod=84&cashAmount=50000
2025-04-09,Opel Corsa,1.2 Turbo Elegance,11 790 €,06.02.2020,67 350 km,Essence,Boite de vitesse manuelle,100 CV / 74 kW,2,Citadine,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,96 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/opel-corsa/id/be9e8b59-9cb0-43ec-ad44-0fd1df76d21a/?financePeriod=84&cashAmount=50000&impression_id=NDQ5NWQyOTMtOWVlNS00OGM2LTkyYjQtM2RjYzk0YjZkMmFjKzE3NDQxODE5MjAwNzA%3D
2025-04-09,Renault Clio,1.0 TCe Business,12 490 €,07.09.2022,47 762 km,Essence,Boite de vitesse manuelle,91 CV / 67 kW,2,Citadine,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,117 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/renault-clio/id/94d04a42-1ad6-42c5-b455-9cb3deec0ff3/?financePeriod=84&cashAmount=50000&impression_id=ZGQzNjFmZTEtYTQ1MC00YTg2LThkNDItNDY0MDExOGNjNTJmKzE3NDQxODIwMzU0Mjg%3D
2025-04-09,BMW Série 2,Active Tourer 225xeA Advantage,16 290 €,14.11.2018,61 584 km,Hybride,Boite de vitesse automatique,224 CV / 165 kW,Inconnu,Monospace,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,52 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/bmw-serie-2/id/69b1bd92-97e0-488a-93c7-1ce6e5fcb496/?financePeriod=84&cashAmount=50000
2025-04-09,Volkswagen Golf VII,1.4 TSI GTE DSG6,20 190 €,15.07.2020,62 122 km,Hybride,Double embrayage / DCT,204 CV / 150 kW,2,Berline,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,45 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/volkswagen-golf-vii/id/af0b0ba2-58d1-454a-87cc-42c1b824abd3/?financePeriod=84&cashAmount=50000
2025-04-09,Toyota Corolla,2.0 Hybride Collection,20 390 €,02.04.2019,83 744 km,Hybride,Boite de vitesse automatique,180 CV / 132 kW,3,Berline,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,85 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/toyota-corolla/id/306aa80f-d3d2-4897-a78b-13554ba3d9fa/?financePeriod=84&cashAmount=50000&impression_id=NGMxYmE0ODAtMzM1ZS00ZTc0LTg0ODYtZjg3YmU3ZDk4NzQ4KzE3NDQxODE4MzA0OTg%3D
2025-04-09,BMW Série 1,118iA M Sport Ultimate,19 190 €,26.10.2018,86 542 km,Essence,Boite de vitesse automatique,136 CV / 100 kW,Inconnu,Berline,5,5,Noir,Cuir (Sellerie d'origine),EURO 6,130 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/bmw-serie-1/id/d271e9db-66d7-4297-8642-5997f64d0c40/?financePeriod=84&cashAmount=50000
